date,description,amount
2026-01-03,Payroll Deposit,3200.00
2026-01-04,Whole Foods,-84.16
2026-01-05,Shell Gas Station,-42.50
2026-01-07,Netflix Subscription,-15.49
2026-01-10,Amazon Purchase,-67.22
2026-01-15,Rent Payment,-1450.00
2026-02-03,Payroll Deposit,3200.00
2026-02-04,Starbucks,-7.85
2026-02-06,Uber Trip,-18.40
2026-02-08,AT&T Internet,-69.99
2026-02-10,Chipotle,-14.75
2026-02-18,CVS Pharmacy,-22.19
2026-03-03,Payroll Deposit,3200.00
2026-03-05,Target,-128.34
2026-03-08,Spotify,-10.99
2026-03-10,Refund Deposit,55.00
